Country_Code,Total_Medals
USA,5637
URS,2503
GER,2165
GBR,2068
FRA,1777
ITA,1637
SWE,1536
CAN,1352
AUS,1320
RUS,1165
HUN,1135
NED,1040
NOR,1033
GDR,1005
CHN,989
JPN,913
FIN,900
SUI,691
ROU,653
KOR,638
DEN,597
FRG,586
POL,565
ESP,489
TCH,488
BRA,475
BEL,468
AUT,450
CUB,409
YUG,390
BUL,342
EUN,279
ARG,274
GRE,255
NZL,228
UKR,199
IND,197
JAM,157
CRO,149
CZE,144
BLR,139
RSA,131
PAK,121
MEX,110
KEN,106
NGR,99
TUR,95
SRB,85
KAZ,77
IRI,68
PRK,67
SCG,64
URU,63
LTU,61
ETH,53
EST,50
TPE,49
SLO,48
SVK,47
AZE,44
INA,41
POR,41
BAH,40
LAT,35
IRL,35
UZB,34
TTO,32
GEO,32
CHI,32
THA,30
ANZ,29
COL,28
EGY,27
MGL,26
GHA,23
MAR,23
ZIM,22
CMR,22
PAR,17
ALG,17
ISL,17
MAS,16
ARM,16
PER,15
VEN,15
MNE,14
TUN,13
FIJ,13
BOH,12
PHI,10
ISR,9
PUR,9
LIE,9
SGP,9
MDA,8
LUX,8
UGA,7
HAI,7
DOM,7
KSA,6
IOA,5
QAT,5
WIF,5
NAM,4
VIE,4
CRC,4
TJK,4
LIB,4
HKG,4
SYR,3
PAN,3
CIV,3
KGZ,3
BRN,3
KUW,2
SRI,2
GRN,2
ZAM,2
MOZ,2
NIG,2
SUR,2
UAE,2
BDI,2
ECU,2
UAR,2
TAN,2
AFG,2
DJI,1
MON,1
GAB,1
BAR,1
ERI,1
CYP,1
AHO,1
KOS,1
MRI,1
SUD,1
MKD,1
ISV,1
BER,1
SEN,1
NEP,1
TOG,1
GUA,1
IRQ,1
GUY,1
JOR,1
BOT,1
TGA,1
